id,created_at,reference,power_real,power_counter,power_real_temp,pac_sum,pac_sum_counter,pac_sum_temp,total_energy,co2factor,update_at,day_energy
287,2022-03-14 23:00:00,edlv,3607.13,1,3621.37,"0","0","0","0","0",2022-03-14 23:59:02,
288,2022-03-15 00:00:00,takurika1,330.543,1,330.756,"0","0","0",11949800,1964300,2022-03-15 00:59:51,"0"
289,2022-03-15 00:00:00,comfenalco1,3682.62,1,3944.22,"0","0","0",28323200,4655770,2022-03-15 00:59:52,"0"
290,2022-03-15 00:00:00,edlv,3864.34,1,3588.43,"0","0","0","0","0",2022-03-15 00:59:02,
291,2022-03-15 01:00:00,takurika1,330.778,1,330.241,"0","0","0",11949800,1964300,2022-03-15 01:59:56,"0"
292,2022-03-15 01:00:00,comfenalco1,5475.45,1,3602.51,"0","0","0",28323200,4655770,2022-03-15 01:59:56,"0"
293,2022-03-15 01:00:00,edlv,4641.74,1,3787.53,"0","0","0","0","0",2022-03-15 01:59:03,
294,2022-03-15 02:00:00,edlv,3598.21,1,3751.33,"0","0","0","0","0",2022-03-15 02:59:03,
295,2022-03-15 02:00:00,takurika1,329.748,1,330.067,"0","0","0",11949800,1964300,2022-03-15 02:59:55,"0"
296,2022-03-15 02:00:00,comfenalco1,3694.16,1,5477.54,"0","0","0",28323200,4655770,2022-03-15 02:59:56,"0"
297,2022-03-15 03:00:00,edlv,3513.51,1,3593.71,"0","0","0","0","0",2022-03-15 03:59:03,
298,2022-03-15 03:00:00,takurika1,328.722,1,330.225,"0","0","0",11949800,1964300,2022-03-15 03:59:55,"0"
299,2022-03-15 03:00:00,comfenalco1,3624.03,1,3781.28,"0","0","0",28323200,4655770,2022-03-15 03:59:56,"0"
300,2022-03-15 04:00:00,edlv,3376.43,1,3510.05,"0","0","0","0","0",2022-03-15 04:59:03,
301,2022-03-15 04:00:00,takurika1,330.788,1,329.259,"0","0","0",11949800,1964300,2022-03-15 04:59:55,"0"
302,2022-03-15 04:00:00,comfenalco1,1647.25,1,3635.69,"0","0","0",28323200,4655770,2022-03-15 04:59:56,"0"
303,2022-03-15 05:00:00,edlv,4558.59,1,3369.56,"0","0","0","0","0",2022-03-15 05:59:03,
304,2022-03-15 05:00:00,takurika1,56.2469,1,330.088,"0","0","0",11949800,1964300,2022-03-15 05:59:55,"0"
305,2022-03-15 05:00:00,comfenalco1,1637.63,1,1571.94,"0","0","0",28323200,4655770,2022-03-15 05:59:56,16
306,2022-03-15 06:00:00,edlv,2956.9,1,4515.35,"0","0","0","0","0",2022-03-15 06:59:03,
307,2022-03-15 06:00:00,takurika1,-994.693,1,56.8772,1073,"0","0",11950200,1964380,2022-03-15 06:59:55,482
308,2022-03-15 06:00:00,comfenalco1,30914.7,1,1610.11,4278,"0","0",28324600,4655990,2022-03-15 06:59:56,1391
309,2022-03-15 07:00:00,edlv,2967.07,1,1507.54,"0","0","0","0","0",2022-03-15 07:59:03,
310,2022-03-15 07:00:00,takurika1,-3398.13,1,-1000.57,3470,"0","0",11952800,1964800,2022-03-15 07:59:55,3049
311,2022-03-15 07:00:00,comfenalco1,21729.1,1,31019.6,10099,"0","0",28333600,4657480,2022-03-15 07:59:55,10479
312,2022-03-15 08:00:00,edlv,40.0613,1,2483.63,"0","0","0","0","0",2022-03-15 08:59:03,
313,2022-03-15 08:00:00,takurika1,-1902.28,1,-3407.02,6391,"0","0",11957800,1965620,2022-03-15 08:59:55,8000
314,2022-03-15 08:00:00,comfenalco1,9067.33,1,22701.8,26716,"0","0",28354200,4660860,2022-03-15 08:59:56,31001
